	SNP	Chromosome	Position	trait1
1	ENSG00000009950	7	73007523	0.33801133940802
2	ENSG00000106367	7	100797677	3.61287791868849e-12
3	ENSG00000113812	3	53901092	0.776173588994878
4	ENSG00000117407	1	44398991	2.60753818374039e-05
5	ENSG00000130770	1	28562619	0.756479015097497
6	ENSG00000139433	12	110288747	0.534014735413359
7	ENSG00000145416	4	164445449	0.354854781256331
8	ENSG00000154328	8	11627147	0.173379762266164
9	ENSG00000163820	3	45959395	3.02265195761955e-06
10	ENSG00000172014	9	69381811	0.00184205484353276
11	ENSG00000173258	9	114287438	0.000352326943384846
12	ENSG00000179344	6	32627243	0.563739985806771
13	ENSG00000185100	14	105190522	0.41881156781924
14	ENSG00000186300	19	2841432	0.202663253655877
15	ENSG00000186470	6	26365386	0.281587983865702
16	ENSG00000186716	22	23521890	0.375526728265922
17	ENSG00000189339	1	1592938	0.0689734759623336
18	ENSG00000196683	7	22852250	0.57491999663396
19	ENSG00000213462	7	64451186	0.0730527434500691
