	SNP	Chromosome	Position	trait1
1	ENSG00000009950	7	73007523	0.201031861464458
2	ENSG00000011198	3	43731604	0.375451688898465
3	ENSG00000037637	1	16573333	0.533710563853844
4	ENSG00000063587	23	152599612	0.962522077705371
5	ENSG00000080644	15	78885393	0.00448186501225472
6	ENSG00000099974	22	24309088	0.000848334636101339
7	ENSG00000100220	22	32783568	0.161273996691668
8	ENSG00000105750	19	21106027	0.912887579004055
9	ENSG00000106367	7	100797677	0.0517939487056551
10	ENSG00000106636	7	44240566	1.22808172044797e-12
11	ENSG00000106733	9	77675488	4.08350492378969e-07
12	ENSG00000108556	17	4801068	0.0108966237785202
13	ENSG00000108590	17	6546634	0.119174371466102
14	ENSG00000113812	3	53901092	0.00116847760522904
15	ENSG00000122729	9	32384617	0.527665698063957
16	ENSG00000123415	12	54558528	0.0115630009481312
17	ENSG00000130770	1	28562619	0.000945433926253657
18	ENSG00000133731	8	82570195	0.175971257580318
19	ENSG00000134253	1	117653681	0.840070045754385
20	ENSG00000134987	5	110427413	0.114670124043748
21	ENSG00000136144	13	50106081	0.00590864294290592
22	ENSG00000136842	9	100263461	0.0170332147087753
23	ENSG00000139343	12	96252705	0.0410204013301791
24	ENSG00000139433	12	110288747	0.00470400308106242
25	ENSG00000141012	16	88880141	4.07751170545388e-07
26	ENSG00000141580	17	80572437	0.0592296732670559
27	ENSG00000142794	1	21766620	0.201811089744414
28	ENSG00000143437	1	150782180	0.866718236342944
29	ENSG00000143622	1	155867598	0.223660396700104
30	ENSG00000145416	4	164445449	0.307260906766829
31	ENSG00000146530	7	12370510	0.0505104135168929
32	ENSG00000151553	10	116581502	0.141488954920849
33	ENSG00000153786	16	85007786	0.00532938685192427
34	ENSG00000154328	8	11627147	0.106985522502612
35	ENSG00000161048	7	102740222	0.000133681843950204
36	ENSG00000163820	3	45959395	0.000488443093373038
37	ENSG00000163945	4	1341053	0.0709347412819875
38	ENSG00000166037	11	95523128	0.128930753076813
39	ENSG00000167526	16	89627064	0.679392669812211
40	ENSG00000168172	8	42752074	0.667769489101693
41	ENSG00000171860	12	8210897	0.870991809998652
42	ENSG00000171903	19	16023176	0.943063696659226
43	ENSG00000172014	9	69381811	0.0118080681060239
44	ENSG00000173258	9	114287438	0.00330324130368415
45	ENSG00000175137	1	249104647	0.430453331555062
46	ENSG00000175643	16	11343475	0.0268752627039644
47	ENSG00000179344	6	32627243	0.000969231823790578
48	ENSG00000182195	23	140269933	0.0557613749757652
49	ENSG00000183186	19	405437	0.82373948969322
50	ENSG00000185100	14	105190522	0.508993652312952
51	ENSG00000185344	12	124196864	0.148544548987358
52	ENSG00000186470	6	26365386	0.0131434503667582
53	ENSG00000186716	22	23521890	0.000427869655525083
54	ENSG00000188549	15	40625957	0.0143937716983407
55	ENSG00000189339	1	1592938	0.000125930453242548
56	ENSG00000196418	1	247285276	0.0288498017840483
57	ENSG00000196683	7	22852250	0.500871875433108
58	ENSG00000197619	19	52494584	0.143654507706708
59	ENSG00000198182	19	38187263	0.644651232571731
60	ENSG00000198231	17	61850962	0.49257685034267
61	ENSG00000198625	1	204485510	0.361931383104566
62	ENSG00000204267	6	32789609	0.639658054945913
63	ENSG00000204580	6	30844197	0.216577525285007
64	ENSG00000205060	7	133974083	0.101793757066459
65	ENSG00000205269	6	11537937	0.180990329457402
66	ENSG00000213462	7	64451186	0.0853361555653738
67	ENSG00000241399	2	160625363	0.0133861907370807
68	ENSG00000272047	6	158589383	0.404158433069289
