	SNP	Chromosome	Position	trait1
1	ENSG00000009950	7	73007523	0.338024793946166
2	ENSG00000011198	3	43731604	0.0434026094131801
3	ENSG00000037637	1	16573333	0.00479860605213855
4	ENSG00000063587	23	152599612	0.245814687355902
5	ENSG00000080644	15	78885393	0.922105631322586
6	ENSG00000099974	22	24309088	0.123744584264834
7	ENSG00000100220	22	32783568	0.906282139561439
8	ENSG00000105750	19	21106027	0.963127398039808
9	ENSG00000106367	7	100797677	3.61287733162949e-12
10	ENSG00000106636	7	44240566	5.56594915601556e-11
11	ENSG00000106733	9	77675488	0.000186512177389332
12	ENSG00000108556	17	4801068	0.0932285045661162
13	ENSG00000108590	17	6546634	0.285838532876503
14	ENSG00000113812	3	53901092	0.776173830865041
15	ENSG00000122729	9	32384617	2.35922123508337e-05
16	ENSG00000123415	12	54558528	2.34150152845138e-08
17	ENSG00000130770	1	28562619	0.756479010880149
18	ENSG00000133731	8	82570195	0.301570402298517
19	ENSG00000134253	1	117653681	0.0201088596871074
20	ENSG00000134987	5	110427413	0.199473713985955
21	ENSG00000136144	13	50106081	0.887179352107799
22	ENSG00000136842	9	100263461	8.29926017718836e-09
23	ENSG00000139343	12	96252705	1.06662725978497e-16
24	ENSG00000139433	12	110288747	0.534014730110655
25	ENSG00000141012	16	88880141	0.000127038779591091
26	ENSG00000141580	17	80572437	1.00321661024305e-05
27	ENSG00000142794	1	21766620	0.0187065228127322
28	ENSG00000143437	1	150782180	7.72082902966206e-05
29	ENSG00000143622	1	155867598	0.0492302839485082
30	ENSG00000145416	4	164445449	0.354859522131034
31	ENSG00000146530	7	12370510	0.231304085767696
32	ENSG00000151553	10	116581502	1.05835464653151e-05
33	ENSG00000153786	16	85007786	0.828568232600139
34	ENSG00000154328	8	11627147	0.173379742402199
35	ENSG00000161048	7	102740222	0.00164668012725709
36	ENSG00000163820	3	45959395	3.02265227299676e-06
37	ENSG00000163945	4	1341053	0.00220920689855294
38	ENSG00000166037	11	95523128	0.918192796166419
39	ENSG00000167526	16	89627064	0.0272606468633639
40	ENSG00000168172	8	42752074	0.0662088015895095
41	ENSG00000171860	12	8210897	0.992035995791377
42	ENSG00000171903	19	16023176	0.660226805791912
43	ENSG00000172014	9	69381811	0.00183959248517439
44	ENSG00000173258	9	114287438	0.00035235001242117
45	ENSG00000175137	1	249104647	0.0532152084789028
46	ENSG00000175643	16	11343475	3.90398654680304e-14
47	ENSG00000179344	6	32627243	0.563739979005151
48	ENSG00000182195	23	140269933	0.0142340731564762
49	ENSG00000183186	19	405437	0.924022272998136
50	ENSG00000185100	14	105190522	0.418811565003528
51	ENSG00000185344	12	124196864	0.0826549907888156
52	ENSG00000186470	6	26365386	0.281587991666021
53	ENSG00000186716	22	23521890	0.375526744826143
54	ENSG00000188549	15	40625957	0.117766577556677
55	ENSG00000189339	1	1592938	0.0689734872737012
56	ENSG00000196418	1	247285276	0.0232767848740408
57	ENSG00000196683	7	22852250	0.57491999244369
58	ENSG00000197619	19	52494584	3.20734029067977e-06
59	ENSG00000198182	19	38187263	0.0665989392333114
60	ENSG00000198231	17	61850962	0.671194448855714
61	ENSG00000198625	1	204485510	0.00507262244703374
62	ENSG00000204267	6	32789609	1.68616248179442e-07
63	ENSG00000204580	6	30844197	9.52335412014673e-05
64	ENSG00000205060	7	133974083	0.905480188570669
65	ENSG00000205269	6	11537937	4.7363402406866e-11
66	ENSG00000213462	7	64451186	0.0730527974160204
67	ENSG00000241399	2	160625363	1.49890988726491e-08
68	ENSG00000272047	6	158589383	0.0567863688410377
