	SNP	Chromosome	Position	trait1
1	ENSG00000009950	7	73007523	0.161115223734121
2	ENSG00000011198	3	43731604	0.753230769711338
3	ENSG00000037637	1	16573333	0.537788321973031
4	ENSG00000063587	23	152599612	0.974188180998608
5	ENSG00000080644	15	78885393	0.041933307465879
6	ENSG00000099974	22	24309088	0.0928205563019028
7	ENSG00000100220	22	32783568	0.16186447559926
8	ENSG00000105750	19	21106027	0.965111296106549
9	ENSG00000106367	7	100797677	0.0912751592025636
10	ENSG00000106636	7	44240566	3.11232321878824e-07
11	ENSG00000106733	9	77675488	0.000640889794641597
12	ENSG00000108556	17	4801068	0.0869817543381795
13	ENSG00000108590	17	6546634	0.20210941094598
14	ENSG00000113812	3	53901092	0.0294121886949844
15	ENSG00000122729	9	32384617	0.744443826421577
16	ENSG00000123415	12	54558528	0.0488121372755657
17	ENSG00000130770	1	28562619	0.00623598860462196
18	ENSG00000133731	8	82570195	0.15070767074251
19	ENSG00000134253	1	117653681	0.714662952177735
20	ENSG00000134987	5	110427413	0.179390939185354
21	ENSG00000136144	13	50106081	0.0375053959670869
22	ENSG00000136842	9	100263461	0.382645301647352
23	ENSG00000139343	12	96252705	0.27350996361699
24	ENSG00000139433	12	110288747	0.1825959987282
25	ENSG00000141012	16	88880141	0.000279948908222626
26	ENSG00000141580	17	80572437	0.0544225853766873
27	ENSG00000142794	1	21766620	0.266101346277289
28	ENSG00000143437	1	150782180	0.866718236342944
29	ENSG00000143622	1	155867598	0.127320091788031
30	ENSG00000145416	4	164445449	0.343920241251682
31	ENSG00000146530	7	12370510	0.0972978554474122
32	ENSG00000151553	10	116581502	0.316173750649984
33	ENSG00000153786	16	85007786	0.138564764173441
34	ENSG00000154328	8	11627147	0.106985522502612
35	ENSG00000161048	7	102740222	0.0149402214512646
36	ENSG00000163820	3	45959395	0.0061671335159878
37	ENSG00000163945	4	1341053	0.444539836480742
38	ENSG00000166037	11	95523128	0.41566613583311
39	ENSG00000167526	16	89627064	0.93997832059377
40	ENSG00000168172	8	42752074	0.763506901556127
41	ENSG00000171860	12	8210897	0.734270836596695
42	ENSG00000171903	19	16023176	0.491473902551698
43	ENSG00000172014	9	69381811	0.0304599240688757
44	ENSG00000173258	9	114287438	0.00862236789921828
45	ENSG00000175137	1	249104647	0.455782327728647
46	ENSG00000175643	16	11343475	0.411473783363526
47	ENSG00000179344	6	32627243	0.00447084958876785
48	ENSG00000182195	23	140269933	0.248394320367175
49	ENSG00000183186	19	405437	0.969266991031733
50	ENSG00000185100	14	105190522	0.40896781023013
51	ENSG00000185344	12	124196864	0.148544548987358
52	ENSG00000186470	6	26365386	0.0690682636816247
53	ENSG00000186716	22	23521890	0.00266606991464399
54	ENSG00000188549	15	40625957	0.0806908108204089
55	ENSG00000189339	1	1592938	0.00724100626159516
56	ENSG00000196418	1	247285276	0.212386221905096
57	ENSG00000196683	7	22852250	0.659298462529116
58	ENSG00000197619	19	52494584	0.18823344148793
59	ENSG00000198182	19	38187263	0.308601866397738
60	ENSG00000198231	17	61850962	0.726200576666898
61	ENSG00000198625	1	204485510	0.689653632735133
62	ENSG00000204267	6	32789609	0.444708422823324
63	ENSG00000204580	6	30844197	0.260673521501204
64	ENSG00000205060	7	133974083	0.347663586463181
65	ENSG00000205269	6	11537937	0.514072319636439
66	ENSG00000213462	7	64451186	0.0853361555653738
67	ENSG00000241399	2	160625363	0.255252277901423
68	ENSG00000272047	6	158589383	0.661850575268058
