	Estimate	Std..Error	z.value	Pr...z..
chr14_29254853	58.7339780424093	13.050223335114	4.50061095003444	6.77584253913281e-06
chr13_100624288	31.2227465407383	7.10787317178752	4.392698882792	1.11952136665727e-05
chr13_100624281	35.5801099428821	8.62311049286886	4.12613406407191	3.68912262884483e-05
chr3_154146871	105.764146378827	26.3917701530474	4.00746694009134	6.13734492437469e-05
chr10_63212496	49.0093345039581	12.2704216547324	3.99410353474335	6.49394843047401e-05
chr10_22622793	25.9522109300112	6.50236159544833	3.99119774393626	6.57404358672814e-05
chr19_52956657	47.6912578366151	12.1228580220889	3.93399458689672	8.35456654028227e-05
chr4_113432770	46.4385022509998	11.9717990885777	3.87899111131148	0.000104890587122337
chr6_25652395	40.7705176783957	10.5275980478514	3.872727424915	0.000107624170138718
chr13_53422691	178.787411725326	46.206041418053	3.86935141462848	0.000109125261018022
chr8_24770381	56.0314801725566	14.739481923647	3.80145519786985	0.00014384875199835
chr10_120354081	63.6399295244128	16.7698284820409	3.79490640542723	0.00014769916297487
chr20_42544666	80.7149567788374	21.5225068348266	3.75025815525487	0.000176652609637831
chr19_52956674	48.5290230600888	12.9459108443775	3.74859858402046	0.000177825437902266
chr7_8482325	44.6992791905604	11.9439057255517	3.74243402599326	0.000182246388782049
chr7_8482235	30.8295822175636	8.33142981824308	3.70039511706106	0.000215264036347618
chr18_76740962	36.7968962811242	9.94931332488464	3.69843576933998	0.000216932228117581
chr13_112720244	32.4158769204632	8.84240506195928	3.66595702111848	0.000246415311332498
chr10_100993589	220.005546540456	60.3798762732433	3.64368991988063	0.000268757175094104
chr19_36736272	51.0166571950101	14.0047839208804	3.64280216554764	0.000269686109861405
chr5_140800474	32.9228121131363	9.06843391387966	3.63048486936056	0.000282889288915648
chr2_176936377	45.7902153515515	12.633593291299	3.62448072339706	0.000289542613684073
chr10_50605613	160.94353371587	44.5242921177793	3.61473537389722	0.000300654560257012
chr10_22634145	33.9255265288319	9.44539404489164	3.59175343745239	0.000328460538319291
chr5_115298704	186.076383563913	51.8229811261731	3.59061519658381	0.000329898384292896
chr2_176997277	54.274325837865	15.1493662313755	3.58261362283649	0.000340173575344774
chr12_14924930	11.8168317580344	3.36214909374289	3.51466619372294	0.000440307066217327
chr5_72595741	121.697671213564	34.8239270680818	3.49465673344772	0.000474671816081945
chr2_223154201	93.5749413389627	26.8173338275718	3.48934543383858	0.000484204991387171
chr8_85096015	40.6669428964756	11.6707816291391	3.48450893768249	0.00049304099528428
