	SNP	Chromosome	Position	trait1
1	ENSG00000007908	1	169691780	4.17524561703184e-07
2	ENSG00000063587	23	152599612	0.245814679452775
3	ENSG00000099974	22	24309088	0.123745200668963
4	ENSG00000101204	20	61975420	3.60111319620908e-11
5	ENSG00000110218	11	93862093	0.0202314960298556
6	ENSG00000113812	3	53901092	0.776173700906935
7	ENSG00000123415	12	54558528	2.34149944159738e-08
8	ENSG00000134250	1	120454175	0.0911721823843318
9	ENSG00000143622	1	155867598	0.0492302890136008
10	ENSG00000145416	4	164445449	0.354858273207911
11	ENSG00000146530	7	12370510	0.231482800326158
12	ENSG00000151553	10	116581502	1.05835555167599e-05
13	ENSG00000163945	4	1341053	0.00220920706951955
14	ENSG00000173039	11	65421066	0.183167653971337
15	ENSG00000175137	1	249104647	0.0532152106160577
16	ENSG00000175643	16	11343475	3.90398772868171e-14
17	ENSG00000179344	6	32627243	0.56373999902648
18	ENSG00000182253	15	99638419	0.000237984416548229
19	ENSG00000186470	6	26365386	0.281588006306469
20	ENSG00000186529	19	15751706	0.25990530222537
21	ENSG00000186716	22	23521890	0.375526787796517
22	ENSG00000189339	1	1592938	0.0689734860702771
23	ENSG00000196418	1	247285276	0.0232768096461798
24	ENSG00000196683	7	22852250	0.574919988009067
25	ENSG00000198231	17	61850962	0.671194431303758
26	ENSG00000204267	6	32789609	1.68616321225125e-07
