	SNP	Chromosome	Position	trait1
1	ENSG00000009950	7	73007523	0.338020664064237
2	ENSG00000026652	6	161551010	0.104240266235345
3	ENSG00000062725	17	58520519	3.10986795702093e-06
4	ENSG00000063587	23	152599612	0.245814673823258
5	ENSG00000071794	3	148747913	0.186128093211194
6	ENSG00000080345	2	152266396	0.218811133819373
7	ENSG00000081692	1	227918125	0.00129969047062459
8	ENSG00000099974	22	24309088	0.123745079299636
9	ENSG00000104626	8	8869172	0.00112718432797401
10	ENSG00000105419	19	47906380	0.96101510003027
11	ENSG00000105750	19	21106027	0.963114184232859
12	ENSG00000105866	7	21467651	0.134214217028443
13	ENSG00000106086	7	30068040	8.35999188020683e-10
14	ENSG00000106367	7	100797677	3.61287880711523e-12
15	ENSG00000106733	9	77675488	0.000186512218320213
16	ENSG00000108064	10	60144781	0.775560214688826
17	ENSG00000108556	17	4801068	0.0932293471181714
18	ENSG00000110218	11	93862093	0.020231493230889
19	ENSG00000111652	12	6832906	0.213932054258035
20	ENSG00000112294	6	24495079	0.00602741224754869
21	ENSG00000113812	3	53901092	0.776173636656591
22	ENSG00000116260	1	180123968	0.850991708575269
23	ENSG00000117228	1	89518001	0.6325245263026
24	ENSG00000122729	9	32384617	2.35922177040994e-05
25	ENSG00000122863	10	73724122	0.118504283776002
26	ENSG00000123415	12	54558528	2.34150234789139e-08
27	ENSG00000130770	1	28562619	0.756479015254673
28	ENSG00000132793	20	39969559	0.000270259805393084
29	ENSG00000133731	8	82570195	0.301570385094191
30	ENSG00000134253	1	117653681	0.0201088554786116
31	ENSG00000134987	5	110427413	0.199473684152786
32	ENSG00000136720	2	128994289	0.339160604409848
33	ENSG00000137815	15	41700605	0.122108618645796
34	ENSG00000139433	12	110288747	0.534014740866937
35	ENSG00000141012	16	88880141	0.000127038643146002
36	ENSG00000141580	17	80572437	1.0032165393456e-05
37	ENSG00000142794	1	21766620	0.0187063315556308
38	ENSG00000143437	1	150782180	7.72083228484273e-05
39	ENSG00000143622	1	155867598	0.0492302857181122
40	ENSG00000144120	2	120436742	0.180867091644566
41	ENSG00000145416	4	164445449	0.35485442035957
42	ENSG00000146530	7	12370510	0.231335592836307
43	ENSG00000149639	20	35405844	0.463213601790596
44	ENSG00000151465	10	12237963	1.52430022540381e-07
45	ENSG00000151498	11	134123388	0.0042907498359831
46	ENSG00000151553	10	116581502	1.05835504954567e-05
47	ENSG00000152133	2	37311593	0.0388652107644194
48	ENSG00000152223	18	43427573	0.0003029327518196
49	ENSG00000153786	16	85007786	0.828568256940186
50	ENSG00000154328	8	11627147	0.173379737018165
51	ENSG00000158022	1	26377794	9.19953073801007e-06
52	ENSG00000160305	21	47878811	0.470488467528186
53	ENSG00000160703	11	119037276	0.00969534894495096
54	ENSG00000163945	4	1341053	0.00220920866338075
55	ENSG00000165629	10	7830091	0.603768380554448
56	ENSG00000166037	11	95523128	0.91819289832695
57	ENSG00000166454	16	81069451	0.370903005359226
58	ENSG00000167526	16	89627064	0.0272606467451325
59	ENSG00000171435	12	117890816	0.651710545066474
60	ENSG00000171903	19	16023176	0.660149045595599
61	ENSG00000172014	9	69381811	0.00184043669274694
62	ENSG00000173258	9	114287438	0.000352389889995014
63	ENSG00000173875	19	12721731	0.13914993553924
64	ENSG00000175137	1	249104647	0.0532152223738241
65	ENSG00000175643	16	11343475	3.90398735027265e-14
66	ENSG00000179344	6	32627243	0.563739985859195
67	ENSG00000182195	23	140269933	0.0142340730260755
68	ENSG00000183549	16	20420855	4.74603144070886e-09
69	ENSG00000185100	14	105190522	0.418811405409385
70	ENSG00000185344	12	124196864	0.082654837029862
71	ENSG00000186470	6	26365386	0.281588008472266
72	ENSG00000186716	22	23521890	0.375526808952518
73	ENSG00000188549	15	40625957	0.117766517722738
74	ENSG00000189339	1	1592938	0.0689734916576582
75	ENSG00000196418	1	247285276	0.0232767659231232
76	ENSG00000196683	7	22852250	0.574919994723529
77	ENSG00000197619	19	52494584	3.20718715199793e-06
78	ENSG00000198231	17	61850962	0.67119442096976
79	ENSG00000198663	6	36839645	4.33232053998627e-08
80	ENSG00000204267	6	32789609	1.68616357813957e-07
81	ENSG00000258986	14	104941014	0.0571747056868377
82	ENSG00000272047	6	158589383	0.0567863485867584
